,title,price,link
360,"MSI CreatorPro X17 HX, Intel 13th Gen. i9-13980HX,44CM UHD 144Hz Mini LED Creator Laptop (64GB/4TB NVMe SSD/Windows 11 Pro/NVIDIA RTX™ 3500 Ada, GDDR6 12GB/Core Black/3.3Kg), A13VKS-249IN","5,00,490",https://amazon.in/MSI-CreatorPro-i9-13980HX-Creator-A13VKS-249IN/dp/B0CD7GZD42/ref=sr_1_70?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.uuIiL249xSton8x94GYpldKN-tg8Il8dxVLNEU987kzitcWnPW8muMnrYAZjjwd7G1CVWXz8W6EM-9E_uZ2N6U5yDtLT2CtRp1zVXr2BMUgP-GaS7644SeLmrW1Ai4WSEZrfx6cZzj8sA5Vf0D7fmMT4mYIV2RZAkBbCDLpm275Ca5JbznWlsJiO0JurDTwNrIEqOtNcED6UN0PjocICSD479DYlLGACI48HWKzPnKE._vDKGM66_LGvV7NQiUW4YDs2wkcpPp6om5oXcPXxD18&dib_tag=se&keywords=laptop&qid=1739981428&sprefix=laptop%2Caps%2C345&sr=8-70
14,"Dell Alienware x16 Gaming Laptop, Intel Core i9 13900HK Processor/32GB/2TB SSD/NVIDIA RTX 4090 16GB GDDR6/ 16""(40.64cm) QHD+ 240Hz, 3ms, DCI-P3 100%/Win 11+MSO'21+McAfee 15 Month/Lunar Silver/2.72kg","4,08,810",https://amazon.in/Dell-Alienware-x16-13900HK-Processor/dp/B0C4Z7D2V9/ref=sr_1_95?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.os94n36cK4_OwBRZVexVVGuAwrjTQvocAnQ52aGAhECeHv4IOonIO2SqlDFkuTPCVj_MNTSajDSYE5JArGqUnBu4XeF1jr5YC7XG5bNLl5ZCu0pjPfk7kBChSEUpYu-LSJ2lqkchX_KQMwZVacRlt15q0YbsRaBsJ3QU7RAHnZ0dpQfBAXKPBVQy8DnaMq95VXefhvEg_8CCIbfV74gAAqcthlOKI6CA3V_M1bMplFU.i5YaJCJknKvLjobAiMp1uFpoFYEsYJM7EjqkEDE98TY&dib_tag=se&keywords=laptop&qid=1739981437&sprefix=laptop%2Caps%2C345&sr=8-95
47,"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14‑core CPU and 32‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black","2,97,490",https://amazon.in/sspa/click?ie=UTF8&spc=MTozODgwMzc0NTQ0MDk5MTA4OjE3Mzk5ODE0NTU6c3BfYXRmX25leHQ6MzAwMzkyOTYzMzI3ODMyOjowOjo&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-32%25E2%2580%2591core%2Fdp%2FB0DLHGCB3C%2Fref%3Dsr_1_113_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9.mdRkxVkb_bIQspR2XQZXT2ItRha7T4qDqls4tkuPN-cSBOK9HYdy1TG9fZbPQIrfXNPCfX4izdffZf4kD6J0_MY3nLcomZAFZjD9X6gFKyYh1bGHGnqjA0c8yXCWnSr5-P2XBPxy8PTcOyQtA3scvYHX-7QVpgLQChNL0Dc9XJJoH6mNHgeVAaAqliR204bLYZOPDe88SPnkXyqQK2GV0M3BR-ZWTnH-kN9qCL4rgVo.Vut9q1RYqk8MlEVpGzSVHgmMZ1hPQnaO59XV2wEFlhw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981455%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
351,"MSI Vector 17 HX, Intel 14th Gen. i9-14900HX, 43CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4080, GDDR6 12GB/Cosmos Grey/3Kg), A14VHG-806IN","2,49,990",https://amazon.in/MSI-i9-14900HX-Windows-GeForce-A14VHG-806IN/dp/B0CTQV9LWZ/ref=sr_1_68?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.I9NEG32TRrQSIhdkO5jOcVIwX-6J8oawcCrbprdGGI15hiohuAXjjm_gbmb8LfVGDlYXw4L58InYxjh_c1-nH347pcIwUHIFFTIgLBTyBAY7quzFqba62PxkTuneZs0faSUImoFlCR5HuohzMUAZuBrxQyDwz-Kkz4JEt1egHiGk94hqMtVdzXVtq8_4bFsH_OLyI9v8fPnAkUTXYZ9ScEKcg65dKtjectfigAQbT6Q.Zb2axZQbKbGYY-vfXoO55KmQZw9fYFdOJN4IxSwRIjY&dib_tag=se&keywords=laptop&qid=1739981418&sprefix=laptop%2Caps%2C345&sr=8-68
96,"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (16.2″) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black","2,39,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3OTQwNDU1NTg2MzUzMDk0OjE3Mzk5ODE0NzU6c3BfYXRmX25leHQ6MzAwMzkyOTYzMzI4MDMyOjowOjo&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-20%25E2%2580%2591core%2Fdp%2FB0DLHTDZVL%2Fref%3Dsr_1_146_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9._BN6e9_iRaON22ucbvXz1l9zEBeRtYoI1Hx-JeZpj7LwjGH5_2Hzvc7c047vD9mAIPfhsPL6JA8N0nxY1a373y386DkR5-jNWbga-y2MMIUx83huxzU3KEfaTGQerigh-ZxxA7OO7dQJlpK1OB4ywLKdxYLHnfv8I2Lux72YHpm3QYUXzZhrfrPz-r0pOymEDwYN48QySoQG7uT5c90-6ZkVosk4iSA-mMevY2iXjsQ.PV5B69YW3lGLS0nbdnaFIG4sXNued8duIB53xvzuLUY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981475%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
95,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black","2,01,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3OTQwNDU1NTg2MzUzMDk0OjE3Mzk5ODE0NzU6c3BfYXRmX25leHQ6MzAwMzkyOTYzMzI2NDMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0DLJ82ZMT%2Fref%3Dsr_1_145_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9._BN6e9_iRaON22ucbvXz1l9zEBeRtYoI1Hx-JeZpj7LwjGH5_2Hzvc7c047vD9mAIPfhsPL6JA8N0nxY1a373y386DkR5-jNWbga-y2MMIUx83huxzU3KEfaTGQerigh-ZxxA7OO7dQJlpK1OB4ywLKdxYLHnfv8I2Lux72YHpm3QYUXzZhrfrPz-r0pOymEDwYN48QySoQG7uT5c90-6ZkVosk4iSA-mMevY2iXjsQ.PV5B69YW3lGLS0nbdnaFIG4sXNued8duIB53xvzuLUY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981475%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
294,"Lenovo Legion Pro 5 AMD Ryzen 9 7945HX 16"" (40.64cm) WQXGA-IPS 240Hz 500Nits Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4070 8GB/Alexa/3 Month Game Pass/Onyx Grey/2.5Kg), 82WM00FFIN","2,01,190",https://amazon.in/Lenovo-40-64cm-WQXGA-IPS-500Nits-82WM00FFIN/dp/B0D86XBRVW/ref=sr_1_39?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9.diilpvh_a3hsngxrfeRzX7vVEt_vARV40xZAIACo5V7G2Xkbnuq_9vw2fMaQ8hsXKdOrbcZ3RMPtxbh26p0C6dE3XExkADzCd1gDAgioioGXzgw-yFlp28EXWbl8N6artChTzFH0DFOFC1zwXsZjVJROlW_-C0fYpvcY3LrQ4YuOsL2TEvpJyA4L2NzWMegqNsd-5EzsahHp4om0c0JTJOUFj7-900lMmBcqFYpS9kg.GV3EAhqu8VxUBopa5GD9A1nkbj-kyE2Ndx0DJ3NkdmA&dib_tag=se&keywords=laptop&qid=1739981406&sprefix=laptop%2Caps%2C345&sr=8-39
107,"Microsoft New Surface Pro9 13"" Intel evo 12 Gen i7 / 16GB / 512GB Graphite with Bluetooth,Wi-Fi,NFC,Windows 11 Home, 365 Family 30-Day Trial & Xbox Game Pass Ultimate 30-Day Trial","1,92,990",https://amazon.in/Microsoft-Surface-Graphite-Bluetooth-Ultimate/dp/B0BLYXM4X1/ref=sr_1_157?crid=36REPC42ZM5VI&dib=eyJ2IjoiMSJ9._BN6e9_iRaON22ucbvXz1l9zEBeRtYoI1Hx-JeZpj7LwjGH5_2Hzvc7c047vD9mAIPfhsPL6JA8N0nxY1a373y386DkR5-jNWbga-y2MMIUx83huxzU3KEfaTGQerigh-ZxxA7OO7dQJlpK1OB4ywLKdxYLHnfv8I2Lux72YHpm3QYUXzZhrfrPz-r0pOymEDwYN48QySoQG7uT5c90-6ZkVosk4iSA-mMevY2iXjsQ.PV5B69YW3lGLS0nbdnaFIG4sXNued8duIB53xvzuLUY&dib_tag=se&keywords=laptop&qid=1739981475&sprefix=laptop%2Caps%2C345&sr=8-157
139,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage; Silver","1,82,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNDMzMzYzODE5NDY5MzM2OjE3Mzk5ODE0ODQ6c3BfYnRmOjMwMDM5Mjk2MzMyODYzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0DLHGKDXH%2Fref%3Dsr_1_181_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9.KAWx_RXjm_YN1Mx5lByQyAWgR29h7swkoLz0PY7oHjJoRTH8YopXyVvDp4x1kO57jIRmi5WlSetPU7lEGpZQn5Mpb8aAG23rN1qG9FlNEuF0wGee3b83rRy356GjiJsJHa6tVAsFYuLYXea45EuYCuYMpsWLlkgtZWMgYw1GiSxxYQx9vRMNCd-Kxm3tEVGiZmG_22pwhcd-jm5DgoMqBz8Dp_HqHqwitzNmg19vnuQ.fIvvD7JRRStZX9hIXGQfueXUUEbZHKQqVDVopY63JDw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981484%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-181-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
140,"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display 16GB Unified Memory, 1TB SSD Storage; Space Black","1,82,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0MjcwNTc1Nzc0NTUyNjI4OjE3Mzk5ODE0OTQ6c3BfYXRmX25leHQ6MzAwMzkyOTYzMzI5MzMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0DLHGCDH3%2Fref%3Dsr_1_177_sspa%3Fcrid%3D36REPC42ZM5VI%26dib%3DeyJ2IjoiMSJ9.ws-4bpEkLLOPnBfn3T-TZUq8oI2j4H_YaKyuqp7ocHZbCdl_Cd5RNs703XILSkkCYOEurajATsRk1AnHTjfsVSQHCcS42s6eySgfna5aTWPIrsTsrw3ZEESImA4upqy-OvFl3kNZsD8eE6qcga9XUNCM3AEno2PMUQgQAXycPvCh-GYZOfVO-ngJ9zHZv9GLOremHYgH5dvmhHPeEo_wTMaGbpaElhNaeNws_dlkrDk.7wXtOkKOxzqRqsqZh1ZmTckg7x9QvZfbXdClTsdg8Ds%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1739981493%26sprefix%3Dlaptop%252Caps%252C345%26sr%3D8-177-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
